ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,target
72,5.165574217,10.61168377,-1.599565117,2.985383297,1.775059844,-0.853910065,10.5268566,4.027523839,0.309121765,4.368200745,-1.530266041,-0.853910065,-1.018083314,4.90577794,5.165574217,-16.29468361,-0.111595496,-0.12640832,0
73,-11.36315414,2.622385647,-1.394565731,0.978662867,1.759571316,-4.32311232,4.984561998,-0.268320628,-0.937180495,1.258686691,-2.026869519,-4.32311232,-0.513350732,-1.115417881,-11.36315414,7.160869393,-2.60742167,-1.351909894,0
74,-7.965439451,-3.670449908,-1.189566344,-3.316783929,-0.887189754,1.848718998,-0.557732602,-0.906558336,1.167550849,1.467033464,-2.523472997,1.848718998,-0.00861815,1.201627716,-7.965439451,4.232083085,-3.605085205,0.52975959,0
75,-4.922781333,-6.142024566,0.549370723,-4.785275571,-0.611796924,0.616039149,-6.100027202,-0.960358793,5.262183701,0.020282912,1.409127482,2.491538057,0.243375572,-1.98560949,-4.922781333,6.099578907,-4.60274874,0.990753966,0
76,-4.437556481,-5.848786378,1.010219859,-3.321763549,-0.201466192,-0.6166407,-0.926295402,2.812612717,3.581628642,-1.42646764,-2.141659605,-0.6166407,0.584150696,-1.285414771,-4.437556481,11.16781801,-5.600412275,-0.435227288,1
77,-2.02894308,-4.12698196,2.02972073,-1.858251528,0.208864539,2.271597661,-1.424452979,0.326009119,1.901073582,-2.873218192,-0.524624782,2.271597661,2.667692894,-0.585220052,-2.02894308,1.142517564,-4.135359085,-0.387322932,0
78,5.107382525,-3.771321729,-3.633716369,-5.420973313,1.312249369,-3.500706879,-1.922610556,1.259433781,-2.014938898,-2.220525478,0.021347233,-3.500706879,-1.501450322,6.083336689,5.107382525,4.779608051,1.624769736,0.459804534,0
79,5.52178026,7.945025809,1.807216052,2.963809998,-0.55728136,-1.45408802,12.28224569,4.333563461,2.087337612,1.991735197,0.567319247,-1.45408802,-0.812162109,-0.714771867,2.708773202,-5.759256304,1.072814471,0.194124802,0
80,5.936177996,3.750787978,1.37886584,2.652652598,-1.021264235,-0.689375592,4.32213685,0.950500461,2.539163463,0.954176732,-1.469213226,-0.689375592,1.50023121,-1.548065752,5.936177996,-5.734273808,3.539714091,-1.417149176,1
81,-0.797558889,-13.06640502,-1.596111131,0.00040588,-0.996642733,-2.68446409,-3.637971989,0.353779466,-1.9383369,-0.083381733,-2.91211985,-2.68446409,-3.612958133,2.224628784,-0.797558889,3.813091913,-3.250470351,0.768445478,0
82,-1.459639386,-8.134078777,-0.295853132,-1.710159541,-1.120758387,1.222206637,-5.214511215,-0.423639143,0.87614757,-3.672539339,-0.210819342,1.222206637,-1.458490265,-1.228517136,-1.459639386,-5.489972632,-2.912413088,0.663278259,0
83,-2.133436477,-6.220381768,1.004404867,0.582401209,-2.452134126,-1.916113305,-6.327050974,2.134644839,0.009444369,-2.417310416,0.533423211,-1.916113305,0.695977604,0.694847671,-2.133436477,2.612659722,-2.574355825,0.558111039,0
84,3.499808627,-4.211334136,-2.712591164,2.598831674,1.847686008,-0.9833622,-5.390467265,1.439574117,-0.967068694,-1.873148024,-0.286450269,0.808848697,1.629499749,-3.396858614,3.499808627,-6.124380629,0.196100047,0.45294382,1
85,4.323381647,0.184893031,-3.696642771,4.615262139,0.102346716,3.533810699,10.54045992,0.744503395,-1.943581757,-0.522505404,2.298787014,3.533810699,2.563021894,-2.811550587,2.430915842,7.463076137,0.410164734,-1.463397597,0
86,5.146954667,4.581120198,-4.680694379,-0.910879003,-0.803894076,-1.410359487,4.333654495,0.242207152,2.326125404,5.344051307,-0.741731799,0.594419086,0.98304367,3.329482264,5.146954667,-9.195598344,0.624229422,0.893093513,0
87,3.092123947,-2.189329505,-3.088654761,-4.84725805,-0.686846545,-2.344972526,-1.873150931,-0.260089092,5.251262428,-1.057239227,-3.783563499,-2.344972526,-0.596934554,2.347690698,3.092123947,-7.004389999,-5.478935825,0.322485296,0
88,-1.224334909,-3.796330058,-2.651171447,-1.045220266,0.975620699,-3.453860269,-4.880050161,-0.762385335,3.287615609,2.295806527,2.437035386,-3.453860269,3.490532706,-4.758018777,-1.224334909,-4.180229404,0.951892561,-1.00830631,1
89,10.57548148,6.36171758,-2.213688132,3.670251723,0.164317977,1.96227475,6.579327705,4.837493441,3.347949963,-4.013984011,-2.597985313,1.96227475,4.465584296,-3.300200355,10.57548148,-1.84176562,-1.599010353,1.469125187,0
90,4.487277475,-7.499698747,2.373963835,-4.44616194,-0.646984745,-2.19106501,3.086211714,7.229679724,1.660826906,-0.764562781,-0.361099815,-2.19106501,1.163264352,-1.842381934,4.487277475,1.866421364,1.448845904,-1.113980181,1
91,0.94082391,7.680759456,-3.389333161,-0.599952052,0.87548888,2.283564354,5.278934845,0.750408497,3.43615416,2.570701477,-0.090791292,2.283564354,-2.139055592,1.886267017,0.94082391,-2.507092001,1.488134499,-0.798884003,0
92,-2.130387553,2.38121769,-0.431664618,1.246347149,-0.414681584,2.415924829,-11.78875223,-4.798229175,2.799577954,2.968199996,-3.378116578,2.415924829,2.206958657,2.885425143,-2.130387553,-13.93120843,4.049700143,1.423374675,1
93,5.560320311,1.990848802,3.145410993,2.701177315,0.531230977,-1.170594796,13.49696986,2.301656519,2.163001747,-0.21084849,-1.49219198,-1.170594796,-3.609418266,-0.100304346,5.560320311,0.012706107,-1.407226083,0.548216137,0
94,-4.376828214,-3.362336765,2.012052064,-1.297457227,0.39517218,-0.453861112,0.422466012,-0.266002616,1.526425541,0.098439911,-2.186152127,-0.453861112,0.801244747,-3.042844449,-4.376828214,6.716174304,-5.187800225,-0.3269424,1
95,3.865769678,13.69127638,-1.968256617,0.336949769,0.250989747,-4.122165466,4.353201786,0.798286512,1.934355941,3.582004716,0.093830298,-4.122165466,7.573786796,-2.198416672,3.865769678,-3.209126738,-1.359920443,-1.124253377,0
96,5.01857421,4.310904767,-3.152399723,1.971356766,-1.859688888,-1.055101569,-0.270753256,0.874280068,2.342286341,3.690142964,-1.807486628,-3.609447952,3.599206021,-0.503302399,5.01857421,-3.621385648,-1.369799329,-1.921564353,0
97,0.838342915,0.401201696,2.528001155,-1.353807416,1.700735508,2.011962328,-4.894708298,-0.019958148,4.225576861,0.074951166,4.099468303,-3.171598085,2.898005131,0.286860996,0.838342915,2.126552636,-0.938874366,-0.793211925,1
